년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2022-01,AAR,OZ,아시아나항공,국제,TSN,출발,정기,화물,0,0,0,1084704,752474,0,0
2022-01,AAR,OZ,아시아나항공,국제,UBN,도착,정기,여객,285,6,70,25694,4780,0,8932
2022-01,AAR,OZ,아시아나항공,국제,UBN,출발,정기,여객,165,13,102,46255,2519,0,9831
2022-01,AAR,OZ,아시아나항공,국제,VIE,출발,정기,화물,0,0,0,1296785,583195,0,0
2022-01,AAR,OZ,아시아나항공,국제,YNT,도착,정기,화물,0,0,0,353191,268046,0,0
2022-01,AAR,OZ,아시아나항공,국제,YNT,도착,부정기,화물,0,0,0,514384,424670,316,0
2022-01,AAR,OZ,아시아나항공,국제,YNT,출발,정기,화물,0,0,0,190903,53634,0,0
2022-01,AAR,OZ,아시아나항공,국제,YNT,출발,부정기,화물,0,0,0,191080,40720,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,DME,도착,정기,화물,0,0,0,316381,0,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,HKG,출발,정기,화물,0,0,0,597461,0,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,KJA,도착,부정기,화물,0,0,0,134417,0,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,KJA,출발,부정기,화물,0,0,0,74368,0,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,NRT,도착,정기,화물,0,0,0,529280,25886,0,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,SVO,도착,정기,화물,0,0,0,1075529,0,7452,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,SVO,출발,정기,화물,0,0,0,789629,0,5373,0
2022-01,ABW,RU,에어브릿지 화물항공,국제,SVO,출발,부정기,화물,0,0,0,86428,23883,0,0
2022-01,ACA,AC,캐나다항공,국제,YUL,출발,부정기,화물,0,0,0,38930,0,0,0
2022-01,ACA,AC,캐나다항공,국제,YVR,도착,정기,여객,1505,13,417,102860,0,0,67872
2022-01,ACA,AC,캐나다항공,국제,YVR,도착,부정기,화물,0,0,0,49994,0,0,0
2022-01,ACA,AC,캐나다항공,국제,YVR,도착,부정기,여객,231,4,116,21940,0,0,12579
2022-01,ACA,AC,캐나다항공,국제,YVR,출발,정기,여객,1752,16,278,133720,0,9293,77154
2022-01,ACA,AC,캐나다항공,국제,YVR,출발,부정기,화물,0,0,0,55086,0,0,0
2022-01,ACA,AC,캐나다항공,국제,YVR,출발,부정기,여객,698,4,120,44805,0,6199,32319
2022-01,ACA,AC,캐나다항공,국제,YYZ,도착,정기,여객,1416,23,496,97887,0,0,68397
2022-01,ACA,AC,캐나다항공,국제,YYZ,도착,부정기,화물,0,0,0,71869,0,0,0
2022-01,ACA,AC,캐나다항공,국제,YYZ,출발,정기,여객,1777,12,881,149110,0,11552,106764
2022-01,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,화물,0,0,0,242657,0,5432,0
2022-01,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,여객,95,0,14,0,0,0,4032
2022-01,ADB,ADB,안토노프항공,국제,ANC,출발,부정기,화물,0,0,0,49293,0,0,0
2022-01,ADB,ADB,안토노프항공,국제,NGO,출발,부정기,화물,0,0,0,128101,0,0,0
2022-01,AFL,SU,에어로플로트항공,국제,SVO,도착,정기,여객,892,9,37,46168,0,5795,18331
2022-01,AFL,SU,에어로플로트항공,국제,SVO,출발,정기,여객,750,7,57,92828,0,16182,22188
2022-01,AFR,AF,프랑스항공,국제,CDG,도착,정기,여객,1357,11,26,279660,0,12579,34684
2022-01,AFR,AF,프랑스항공,국제,CDG,출발,정기,여객,1754,14,12,362452,0,9211,48965
2022-01,AHK,LD,에어홍콩,국제,HKG,도착,정기,화물,0,0,0,859858,0,0,0
2022-01,AHK,LD,에어홍콩,국제,HKG,출발,정기,화물,0,0,0,945019,0,0,0
2022-01,AIH,KJ,에어인천,국제,CGO,도착,정기,화물,0,0,0,56353,0,5840,0
2022-01,AIH,KJ,에어인천,국제,CGO,도착,부정기,화물,0,0,0,49716,1280,3187,0
2022-01,AIH,KJ,에어인천,국제,CGO,출발,정기,화물,0,0,0,35031,0,0,0
2022-01,AIH,KJ,에어인천,국제,CGO,출발,부정기,화물,0,0,0,31334,0,0,0
2022-01,AIH,KJ,에어인천,국제,CKG,도착,부정기,화물,0,0,0,66885,0,0,0
2022-01,AIH,KJ,에어인천,국제,CKG,출발,부정기,화물,0,0,0,67073,0,0,0
2022-01,AIH,KJ,에어인천,국제,CTU,도착,정기,화물,0,0,0,151720,3748,0,0
2022-01,AIH,KJ,에어인천,국제,CTU,도착,부정기,화물,0,0,0,67444,0,0,0
2022-01,AIH,KJ,에어인천,국제,CTU,출발,정기,화물,0,0,0,134532,0,0,0
2022-01,AIH,KJ,에어인천,국제,CTU,출발,부정기,화물,0,0,0,72552,0,0,0
2022-01,AIH,KJ,에어인천,국제,HAN,도착,정기,화물,0,0,0,289190,0,0,0
2022-01,AIH,KJ,에어인천,국제,HAN,출발,정기,화물,0,0,0,295429,0,0,0
2022-01,AIH,KJ,에어인천,국제,HFE,도착,부정기,화물,0,0,0,20686,0,0,0
2022-01,AIH,KJ,에어인천,국제,HFE,출발,부정기,화물,0,0,0,10493,0,0,0
2022-01,AIH,KJ,에어인천,국제,NRT,도착,정기,화물,0,0,0,114482,0,0,0
2022-01,AIH,KJ,에어인천,국제,NRT,출발,정기,화물,0,0,0,123300,2573,3951,0
2022-01,AIH,KJ,에어인천,국제,SGN,도착,정기,화물,0,0,0,177212,0,499,0
2022-01,AIH,KJ,에어인천,국제,SGN,출발,정기,화물,0,0,0,148121,0,27583,0
2022-01,AIH,KJ,에어인천,국제,TAO,도착,정기,화물,0,0,0,5308,0,838,0
2022-01,AIH,KJ,에어인천,국제,TAO,출발,정기,화물,0,0,0,34791,0,0,0
2022-01,AIH,KJ,에어인천,국제,UBN,도착,부정기,화물,0,0,0,25994,0,0,0
2022-01,AIH,KJ,에어인천,국제,UBN,출발,부정기,화물,0,0,0,198360,0,0,0
2022-01,AIH,KJ,에어인천,국제,XIY,도착,부정기,화물,0,0,0,134148,0,0,0
2022-01,AIH,KJ,에어인천,국제,XIY,출발,부정기,화물,0,0,0,146481,0,0,0
